gene,avg_log2FC,p_val,p_val_adj,significance
TCAP,0.6764968341621524,7.378850648104355e-104,3.4791677518212464e-103,"Significant, modest FC"
BTG1,-0.1338530356069887,5.410624458448458e-103,2.5374960695504262e-102,"Significant, modest FC"
GSK3B,-0.7100820092698639,1.0233272826921767e-102,4.773712909154463e-102,"Significant, modest FC"
SERPINH1,-0.2718658150706652,1.3366039347354082e-102,6.202125136311921e-102,"Significant, modest FC"
PTGS1,-1.0208149122408796,1.3912462999027573e-102,6.4217000263932534e-102,Higher in PWoH
SPARCL1,0.72817526618035,4.315513764583669e-102,1.981521241643915e-101,"Significant, modest FC"
IRF3,-0.5829575399207765,8.236274659356067e-102,3.7620900397162865e-101,"Significant, modest FC"
MAP1LC3B/2,-0.5176833364744442,1.4026504768930338e-101,6.373701907954356e-101,"Significant, modest FC"
TNFRSF10D,-1.3571253341405478,3.02814529548704e-101,1.368908981516564e-100,Higher in PWoH
SFN,0.6039889471638569,9.234983123736751e-100,4.153374461290837e-99,"Significant, modest FC"
SEC23A,-0.2367914504234503,1.0169257406083708e-99,4.550223849558883e-99,"Significant, modest FC"
FLT1,-0.5848358468724677,7.308298665169017e-99,3.25349133469707e-98,"Significant, modest FC"
IL16,-0.7674816021936575,7.803955862909972e-99,3.4566006524101236e-98,"Significant, modest FC"
NPR1,-0.9448181423097104,1.755742604388127e-98,7.737619417328579e-98,"Significant, modest FC"
FCGR3A/B,-0.6066866112774751,1.826259155137374e-98,8.008146395277385e-98,"Significant, modest FC"
CASP3,-1.2430313312271726,1.6720626840466424e-97,7.295517283128883e-97,Higher in PWoH
S100A6,-0.20489097469624262,1.9312102850924866e-97,8.384511980327281e-97,"Significant, modest FC"
TGFB1,-0.5362789381792561,1.9625605465891638e-97,8.478648272702938e-97,"Significant, modest FC"
CD93,-0.39829543786465704,2.0756959911530851e-97,8.923457765888508e-97,"Significant, modest FC"
MAP2K1,-0.5738622496379038,4.976402151551271e-97,2.1289291155660807e-96,"Significant, modest FC"
IL1RAP,-0.8120666544071777,6.527528840385222e-97,2.7789528121445824e-96,"Significant, modest FC"
ETS1,-0.5167906441911407,1.2611672365031714e-96,5.343206117938558e-96,"Significant, modest FC"
MMP7,0.39280226018229003,3.1130246928417944e-96,1.3125589690491606e-95,"Significant, modest FC"
RELT,0.3043537729901624,7.61770410005106e-96,3.196519854423339e-95,"Significant, modest FC"
BCL2L1,-0.35663542962652084,1.0408236297622043e-95,4.34667773000692e-95,"Significant, modest FC"
ADGRL4,-0.9066252178274891,1.0667269837990504e-95,4.433742013231124e-95,"Significant, modest FC"
ELANE,0.458953166217555,2.833874223381225e-94,1.1723149499553463e-93,"Significant, modest FC"
ATF3,-0.4123934895646264,1.3798186624128827e-93,5.681225196883089e-93,"Significant, modest FC"
CCDC80,-0.24405579124213927,4.595082503115938e-92,1.8831249323517184e-91,"Significant, modest FC"
HGF,-0.783412782935661,7.158036102306247e-92,2.9198128659174785e-91,"Significant, modest FC"
BRAF,-0.6902068190973929,6.43101432091273e-91,2.6111109071483627e-90,"Significant, modest FC"
PTTG1,-1.1671845745944076,5.280035215036538e-90,2.1339128495792826e-89,Higher in PWoH
BTF3,-0.12293801723077369,5.548267313099326e-90,2.232032308985371e-89,"Significant, modest FC"
BAX,-0.4576102007021916,1.7571495250217852e-89,7.036621613900026e-89,"Significant, modest FC"
CSF1,-0.5197321917393594,4.173342348465581e-88,1.663646018001961e-87,"Significant, modest FC"
MERTK,-0.8020386560387158,1.1146224859077845e-87,4.423185159009625e-87,"Significant, modest FC"
ATR,-0.6485394286550874,1.9814333513765114e-87,7.827554275482884e-87,"Significant, modest FC"
EFNA4,0.47315912988608044,8.171169026069136e-87,3.2135045900729292e-86,"Significant, modest FC"
NFKB1,-0.7720544240614924,1.0181496747765495e-86,3.9862377891921156e-86,"Significant, modest FC"
SLCO2B1,-0.635304431127345,1.2579448315150545e-86,4.90318940994979e-86,"Significant, modest FC"
LIFR,-0.7926063491863946,1.232615658955832e-85,4.783203242939224e-85,"Significant, modest FC"
SQLE,0.49860632029352736,1.805639536183196e-85,6.97597300983552e-85,"Significant, modest FC"
SMAD2,-0.37272089195483016,1.7012300536666886e-84,6.543766478358272e-84,"Significant, modest FC"
IL18R1,0.42650650312553884,2.589362723946598e-84,9.916467724459243e-84,"Significant, modest FC"
CALB1,-1.2084670063498892,5.945679450121904e-84,2.2671134251117e-83,Higher in PWoH
LY6D,0.5822710252947227,1.0209524706023446e-83,3.8760836221569534e-83,"Significant, modest FC"
MRC1,-0.7863452046597046,1.411021715313409e-83,5.333905363490775e-83,"Significant, modest FC"
WNT3,-1.3394172934889426,2.7605304886883864e-83,1.0390494586179033e-82,Higher in PWoH
C1QA,-0.3283636413175137,5.1113975180817156e-82,1.9156818903237883e-81,"Significant, modest FC"
MYL9,0.60407393143036,2.262414986892703e-81,8.443140185127236e-81,"Significant, modest FC"
STAT6,-0.5163453811402645,2.4878474554972297e-81,9.245094146063857e-81,"Significant, modest FC"
TNFRSF11B,-0.46922106375619066,1.7180260257192423e-80,6.35742120065728e-80,"Significant, modest FC"
IGF2,-0.2703597474875439,2.335471300842099e-80,8.605917356464373e-80,"Significant, modest FC"
HLA-DRA,-0.2400637212334642,4.03232070861252e-80,1.4796423688088618e-79,"Significant, modest FC"
AREG,-0.9625544196275844,1.4815530331512701e-79,5.413841708640267e-79,"Significant, modest FC"
CLEC1A,-1.055827881738783,5.630514875639006e-79,2.0489466995582606e-78,Higher in PWoH
CD40,-0.8156244334612801,1.9200132036933683e-78,6.9580643786739e-78,"Significant, modest FC"
TGFBI,-0.4004804540558915,2.230081717485282e-78,8.048484223187623e-78,"Significant, modest FC"
ADGRF5,-0.7021968339225271,2.3944376870580727e-78,8.606237096516106e-78,"Significant, modest FC"
CD47,-0.400835767324524,5.780184726885713e-78,2.0690702063178653e-77,"Significant, modest FC"
CYP1B1,-0.6554320562297986,4.666728574076424e-77,1.6637077070996032e-76,"Significant, modest FC"
PARP1,-0.7787004035722158,2.9261298868961036e-76,1.0389538100436772e-75,"Significant, modest FC"
PTPRCAP,0.5624038472576403,6.362828892117583e-76,2.2500810235431935e-75,"Significant, modest FC"
NOTCH1,-0.8022032290460783,8.20062648183195e-76,2.88833310223559e-75,"Significant, modest FC"
HDAC4,-0.8437706246979992,1.9523086245344888e-75,6.848698654866987e-75,"Significant, modest FC"
H2AZ1,-0.28246294681714446,2.6805434412123665e-75,9.365882860331654e-75,"Significant, modest FC"
BECN1,-0.6575936444522765,4.821009765361331e-75,1.6777879223102727e-74,"Significant, modest FC"
CARMN,0.7777402860089251,5.572642727904311e-75,1.9317026373012175e-74,"Significant, modest FC"
GZMK,-1.0126406614248784,6.542868262953014e-75,2.2590927033896824e-74,Higher in PWoH
MARCO,-1.0166571801196649,4.38049216096433e-74,1.506545735359105e-73,Higher in PWoH
KITLG,-0.6450029143698277,8.125504717967495e-74,2.7836201709599582e-73,"Significant, modest FC"
FAM30A,-1.3702927516131491,2.2644531155047416e-73,7.727336117889721e-73,Higher in PWoH
IL15,-1.1722590986055317,3.8946922445569924e-73,1.3238934490218923e-72,Higher in PWoH
HLA-DPB1,-0.4175920179695294,5.573049986689108e-73,1.887090671168474e-72,"Significant, modest FC"
EMP3,-0.29522194866686835,9.762522506323113e-73,3.292973937709758e-72,"Significant, modest FC"
CD84,-0.8937786558895229,1.210673630607409e-72,4.068048942692328e-72,"Significant, modest FC"
VEGFA,-0.21716796538730865,1.2979356771245373e-72,4.344616751290913e-72,"Significant, modest FC"
INHA,0.32599160247983194,3.6142368725171425e-72,1.205203702356477e-71,"Significant, modest FC"
KRT14,0.562132532045039,5.478024254218584e-72,1.819783057177916e-71,"Significant, modest FC"
EPHB6,0.4466314150548407,1.9971936481224326e-71,6.609580488314617e-71,"Significant, modest FC"
RAC1,-0.14144972548370438,5.370154416240355e-71,1.7705358733243577e-70,"Significant, modest FC"
ANGPT1,-0.9857266605210011,6.761394897707929e-71,2.2208776499212933e-70,"Significant, modest FC"
MAPK13,-0.9507035184506326,8.266962790370017e-71,2.7052710325203377e-70,"Significant, modest FC"
REG1A,-1.2515533729406814,9.075762519639434e-71,2.958901014767206e-70,Higher in PWoH
BID,-0.805953746010204,2.2047275562675213e-70,7.161281729061541e-70,"Significant, modest FC"
CACNA1C,-0.6537744186426813,2.5703099425065535e-70,8.317940293646669e-70,"Significant, modest FC"
PPARG,-1.0374669725605195,3.296219535829343e-70,1.0627884312214462e-69,Higher in PWoH
LYZ,-0.2835157993097379,1.0846404498192358e-69,3.484357782020036e-69,"Significant, modest FC"
FAP,-0.8231341325673083,5.814923428510084e-69,1.8611999440888117e-68,"Significant, modest FC"
TIE1,-0.6776953485674226,6.015502924778122e-69,1.9183985691019684e-68,"Significant, modest FC"
Negative02,-1.3100247017084383,1.479218546375612e-68,4.700270525983377e-68,Higher in PWoH
CLEC5A,-0.9893131733378806,1.8251708027053777e-68,5.7786093645220805e-68,"Significant, modest FC"
CLEC10A,-1.0946874923205243,1.4655054311065802e-67,4.6231951909369453e-67,Higher in PWoH
IFNAR2,-0.6426442938917631,1.900230257885351e-67,5.973125219231013e-67,"Significant, modest FC"
NDRG1,-0.19061842590579836,3.068363328851728e-67,9.61055228358202e-67,"Significant, modest FC"
FZD4,-0.6254689810248146,4.0323567241961626e-67,1.2584970986192292e-66,"Significant, modest FC"
VSIR,-0.48299798803363325,1.6538223325247464e-66,5.143270161787953e-66,"Significant, modest FC"
TGFB3,-0.40166605620845974,3.616832701327555e-66,1.1208347275845462e-65,"Significant, modest FC"
CHI3L1,-1.0788514520925507,4.181066592146606e-66,1.2911251413072443e-65,Higher in PWoH
ACVR2A,-0.891354764784343,7.183908569033538e-66,2.2106273035236534e-65,"Significant, modest FC"
FGF1,-0.6808361564272789,7.226084645855825e-66,2.2158308511942514e-65,"Significant, modest FC"
BRCA1,-1.2268005858872968,8.101799699390877e-66,2.4757067374096863e-65,Higher in PWoH
IL18,-1.1775623210289823,1.0935216578220434e-65,3.329925326076153e-65,Higher in PWoH
IKZF3,-0.9769188924406008,1.8059978374654967e-65,5.480484787049276e-65,"Significant, modest FC"
TLR4,-0.7894649076913499,2.056631085911671e-64,6.219536077050123e-64,"Significant, modest FC"
CD79A,0.4601932989678299,3.076430993820306e-64,9.27158069271618e-64,"Significant, modest FC"
CD24,-0.9642084174295227,3.886368656836086e-64,1.167241545220975e-63,"Significant, modest FC"
NFKBIA,-0.36757436135793187,4.8113625094243334e-64,1.4401245463362254e-63,"Significant, modest FC"
EPHA3,-0.7104339642980484,1.4119480872888479e-63,4.211831539293604e-63,"Significant, modest FC"
NR3C1,-0.33502186073044826,1.722796569533816e-63,5.12166980163104e-63,"Significant, modest FC"
HBA1/2,0.1611248858783041,2.9749588912515405e-63,8.814320769012165e-63,"Significant, modest FC"
SPRY2,-0.5982701282150109,1.0499549341685455e-62,3.1003719773259745e-62,"Significant, modest FC"
NTRK2,-0.4749278260402343,1.073284334729894e-62,3.1586253743560974e-62,"Significant, modest FC"
CXCR2,-1.0560092918473127,2.1876534947958737e-62,6.416629146943082e-62,Higher in PWoH
HMGCS1,-0.8475027504958446,2.3596340683295434e-62,6.897996926416699e-62,"Significant, modest FC"
BCL2,0.4656195541869166,2.5317503781773026e-62,7.376561733094666e-62,"Significant, modest FC"
PPARD,-0.7331247648256025,6.555624829006138e-62,1.903736084449796e-61,"Significant, modest FC"
SMAD4,-0.4686751035323782,1.143988491761355e-61,3.31114820882742e-61,"Significant, modest FC"
Negative06,-0.9806194161150286,1.4330575332119711e-61,4.134182423114798e-61,"Significant, modest FC"
TLR1,-0.995627001711337,5.893316660236182e-61,1.6945700691892235e-60,"Significant, modest FC"
CXCL5,-1.0658056431743066,3.6257569828091254e-60,1.039146690824707e-59,Higher in PWoH
NGFR,-0.5973514736962906,4.118025346375955e-60,1.1763870452025123e-59,"Significant, modest FC"
IFNL2/3,0.3803182057418595,5.520455764939721e-60,1.5718960083935504e-59,"Significant, modest FC"
IL6R,-0.625442806518598,1.3195208885758985e-59,3.7450479588383914e-59,"Significant, modest FC"
