"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.21738085388473e-161,0.780290527473683,0.084,0.047,1.64800254987873e-160,"UBE2C"
3.05183382768806e-160,-0.197091787606128,0.167,0.236,2.24912459401885e-159,"RPL22"
5.18245251342111e-159,-0.704574901664515,0.065,0.109,3.78750904522526e-158,"COL6A3"
1.62306834871345e-158,-0.732187627926658,0.034,0.069,1.1763892081171e-157,"IL13RA1"
4.783893633258e-157,-0.223298783482241,0.127,0.188,3.43891370194038e-156,"ARF1"
1.39508352123313e-155,-0.403450434287729,0.095,0.147,9.94705892781668e-155,"CSTB"
9.96604068522389e-155,-0.339598636186707,0.103,0.157,7.04856264592044e-154,"TGFBR2"
5.59501929824913e-151,-0.46287770972298,0.047,0.086,3.92546553965159e-150,"IL33"
4.01684669516295e-149,-0.502029530978067,0.04,0.076,2.79585281877612e-148,"LAMP2"
9.04479865129923e-149,-0.87927104432704,0.028,0.059,6.24589639148773e-148,"MFAP5"
5.75174444953807e-148,-0.375474476000238,0.072,0.116,3.94084365800382e-147,"GPNMB"
9.67398268991929e-148,-1.12558010069874,0.03,0.062,6.57680838686761e-147,"IL6"
1.09070868142175e-147,-1.23914917470299,0.02,0.047,7.3580885662067e-147,"IL17RA"
3.1793650744115e-147,-0.438587589009702,0.068,0.112,2.1284757024877e-146,"LGALS3"
5.10816817912278e-145,0.747237847621777,0.149,0.104,3.39383597961415e-144,"HLA-DQB1/2"
6.98737380791889e-145,-0.151386027592706,0.17,0.237,4.60746378161268e-144,"RACK1"
5.11764793495481e-141,-0.522964228498307,0.049,0.087,3.34938599922042e-140,"PDGFRA"
3.75790717419033e-138,-0.532752378883732,0.048,0.085,2.44124784575179e-137,"ABL1"
5.59573389884706e-135,-0.661008650578252,0.034,0.065,3.60842546271241e-134,"FCER1G"
7.40204941258185e-132,0.76728230296394,0.063,0.034,4.7383922152075e-131,"PSCA"
2.30106550456077e-131,-0.121819557302454,0.239,0.312,1.46234380253608e-130,"ITM2B"
6.04548647505563e-131,0.13432610781665,0.438,0.371,3.81431053138402e-130,"TAGLN"
1.36499635400162e-130,0.260043870290692,0.382,0.322,8.55072716042442e-130,"TPM2"
2.22138156047444e-129,-0.618916406778391,0.078,0.12,1.38166782165679e-128,"APOE"
1.32913990924239e-128,0.591184416812971,0.118,0.079,8.20884296060265e-128,"RGCC"
1.46172297256473e-128,0.545358531649772,0.274,0.226,8.96455277579907e-128,"COL6A1"
4.52698687389932e-128,1.56491968976081,0.079,0.047,2.75706075584007e-127,"IGHG1"
3.0108722951118e-126,-0.701668963652854,0.035,0.066,1.82105862262969e-125,"BMP1"
9.64967721298905e-126,-0.71976525932045,0.03,0.059,5.79641569574753e-125,"IGF2R"
2.98612010088156e-125,-0.386491665884508,0.052,0.087,1.7815151894375e-124,"MRC2"
3.91328793937117e-125,-1.20124420303397,0.021,0.045,2.31888751542467e-124,"CDH5"
1.45563392928477e-124,0.740354099845444,0.092,0.058,8.56772453679691e-124,"BBLN"
2.89755092581505e-124,-0.554216442002489,0.032,0.061,1.6941014412932e-123,"LDLR"
7.68194337167734e-124,-0.299979016802598,0.253,0.319,4.46163201123247e-123,"PSAP"
8.67542230107279e-124,-0.377115564150999,0.076,0.117,5.00549036713213e-123,"RGS2"
1.64165376339294e-122,-0.8395329395752,0.026,0.052,9.41000229082098e-122,"ACVR1"
5.50742108536027e-122,0.7381140196505,0.097,0.063,3.13636902068893e-121,"ITGA8"
